SLE: Single Loss Expectancy equals Asset Value multiplied by Exposure Factor.
ALE:	Annualized Loss Expectancy equals SLE multiplied by the Annual Rate of Occurrence.
	
Recorded SLE and ALE are entered by the assessor and are not independently recalculated.	

Scenario,Asset Value (USD),Exposure Factor,Recorded SLE (USD) ,Annual Rate of Occurrence,Recorded ALE (USD)
Ransomware outbreak on internal file servers,"400,000",0.5,"200,000",0.4,"80,000"
Customer database breach through stolen admin credentials,"1,200,000",0.6,"720,000",0.2,"144,000"
Regional outage exceeding the recovery time objective,"250,000",0.4,"100,000",0.5,"50,000"
Laptop theft holding cached customer records,"60,000",0.25,"15,000",2,"30,000"
Payment integration compromise exposing card data,"900,000",0.7,"630,000",0.1,"63,000"
Insider export of the full customer contact list,"300,000",0.35,"105,000",0.25,"26,250"
Denial of service against the customer portal,"180,000",0.3,"54,000",1.5,"81,000"
Subprocessor breach exposing health records,"750,000",0.55,"412,500",0.15,"61,875"
Backup corruption preventing restore after an incident,"500,000",0.8,"400,000",0.1,"40,000"
Phishing leading to a business email compromise payment,"120,000",0.9,"108,000",0.5,"54,000"
Source code leak from a misconfigured repository,"220,000",0.45,"99,000",0.3,"29,700"
Loss of a production encryption key,"650,000",0.65,"422,500",0.05,"21,125"
