Risk,Likelihood ,Impact,Score,,,
Ransomware outbreak on internal file servers,4,4,,,,
Customer database breach through stolen credentials,3,5,,,,
Regional outage exceeding the recovery objective,2,4,,,,
Laptop theft holding cached records,4,2,,,,
Payment integration compromise,2,5,,,,
Insider export of customer contacts,3,3,,,,
Denial of service against the portal,4,3,,,,
Subprocessor breach exposing health records,2,5,,,,
Backup corruption preventing restore,3,5,,,,
Phishing leading to a fraudulent payment,5,2,,,,
Source code leak from a repository,3,2,,,,
Loss of a production encryption key,1,5,,,,
